doc_id,type,text,incorrectly_detected,matched_predictions
syn_doc_009,ORG,Oversight Forum,True,"[{""type"": ""ORG"", ""text"": ""Oversight Forum"", ""start"": 1778, ""end"": 1793, ""score"": 0.6556600332260132}]"
syn_doc_009,IBAN,TP330006100519786457841326,False,[]
syn_doc_009,PERSON,Becker,False,[]
syn_doc_010,ORG,Documentation Review Council,True,"[{""type"": ""ORG"", ""text"": ""Documentation Review Council"", ""start"": 1240, ""end"": 1268, ""score"": 0.9065783023834229}]"
syn_doc_010,ORG,Governance and Documentation Division,False,[]
syn_doc_010,PERSON,Anderson,False,[]
syn_doc_011,ORG,central policy repository,False,[]
syn_doc_011,DATE,2025-12-25,False,[]
syn_doc_011,PHONE,532-123-4567,False,[]
syn_doc_012,ORG,Office of General Counsel,True,"[{""type"": ""ORG"", ""text"": ""Office of General Counsel"", ""start"": 68, ""end"": 93, ""score"": 0.7754396200180054}]"
syn_doc_012,IBAN,WT330006100519786457841326,False,[]
syn_doc_013,ORG,central governance function,False,[]
syn_doc_013,ORG,Governance Oversight Lead,False,[]
syn_doc_013,PERSON,Johnson,False,[]
syn_doc_014,CREDIT_CARD,4111 1111 1111 1111,False,[]
syn_doc_015,DATE,2024,False,[]
syn_doc_015,LOCATION,oslo,False,[]
syn_doc_016,ORG,Cross-Border Transaction Anomaly Review Report,False,[]
syn_doc_018,DATE,11/12/11,False,[]
syn_doc_019,PHONE,22 678 4412,False,[]
syn_doc_020,DATE,early November,False,[]
syn_doc_020,ORG,Internal Coordination Office,True,"[{""type"": ""ORG"", ""text"": ""Internal Coordination Office"", ""start"": 1822, ""end"": 1850, ""score"": 0.9071630835533142}]"
syn_doc_021,PERSON,John Doe,True,"[{""type"": ""PERSON"", ""text"": ""John Doe"", ""start"": 2433, ""end"": 2441, ""score"": 0.5187909603118896}]"
syn_doc_023,PERSON,Jane Smith,True,"[{""type"": ""PERSON"", ""text"": ""Jane Smith"", ""start"": 2643, ""end"": 2653, ""score"": 0.9874228239059448}]"
syn_doc_023,LOCATION,Central Region,True,"[{""type"": ""LOCATION"", ""text"": ""Central Region"", ""start"": 2490, ""end"": 2504, ""score"": 0.8898891806602478}]"
syn_doc_024,ORG,Multi-Stage Transaction Activity Investigation Report,False,[]
syn_doc_027,LOCATION,London Office,True,"[{""type"": ""LOCATION"", ""text"": ""London Office"", ""start"": 92, ""end"": 105, ""score"": 0.7981085777282715}]"
syn_doc_029,ORG,Paris Office,False,[]
syn_doc_031,DATE,2024-04,True,"[{""type"": ""DATE"", ""text"": ""2024-04"", ""start"": 1298, ""end"": 1305, ""score"": 0.6362344622612}]"
syn_doc_031,ORG,security group,False,[]
syn_doc_032,LOCATION,East Region Office Zone,True,"[{""type"": ""LOCATION"", ""text"": ""East Region Office Zone"", ""start"": 2309, ""end"": 2332, ""score"": 0.8836619257926941}]"
syn_doc_033,LOCATION,North Compliance Zone,True,"[{""type"": ""LOCATION"", ""text"": ""North Compliance Zone"", ""start"": 2505, ""end"": 2526, ""score"": 0.7413997650146484}]"
syn_doc_034,PERSON,Usern Temp,True,"[{""type"": ""PERSON"", ""text"": ""Usern Temp"", ""start"": 1057, ""end"": 1067, ""score"": 0.5016043186187744}]"
syn_doc_035,ORG,support coordination group,True,"[{""type"": ""ORG"", ""text"": ""support coordination group"", ""start"": 664, ""end"": 690, ""score"": 0.5799082517623901}]"
syn_doc_035,ORG,Regional Offices,False,[]
syn_doc_039,EMAIL,finance.team@internal-ref,False,[]
syn_doc_039,ORG,Berlin Office,True,"[{""type"": ""ORG"", ""text"": ""Berlin Office"", ""start"": 204, ""end"": 217, ""score"": 0.8579251170158386}, {""type"": ""ORG"", ""text"": ""Berlin Office"", ""start"": 1060, ""end"": 1073, ""score"": 0.8732313513755798}]"
syn_doc_040,EMAIL,client.update@hsbc-temp,False,[]
syn_doc_042,PERSON,Payment Check,False,[]
syn_doc_042,CREDIT_CARD,4532-7812-9944-1203,False,[]
syn_doc_043,ORG,Finance Group,True,"[{""type"": ""ORG"", ""text"": ""Finance Group"", ""start"": 994, ""end"": 1007, ""score"": 0.8078558444976807}]"
syn_doc_043,ORG,London Office,False,[]
syn_doc_044,ORG,Operations Team,False,[]
syn_doc_045,ORG,Risk Team,True,"[{""type"": ""ORG"", ""text"": ""Risk Team"", ""start"": 634, ""end"": 643, ""score"": 0.8234860897064209}]"
syn_doc_046,PERSON,temp-user-01,False,[]
syn_doc_046,PERSON,Chief,True,"[{""type"": ""PERSON"", ""text"": ""Chief"", ""start"": 1210, ""end"": 1215, ""score"": 0.8468016982078552}]"
syn_doc_048,IBAN,ACC-009988,False,[]
syn_doc_048,CREDIT_CARD,1111-1111-1111-1111,False,[]
syn_doc_049,PERSON,P Temp,False,[]
syn_doc_049,IBAN,IBAN-REF-2024-7788,True,"[{""type"": ""IBAN"", ""text"": ""IBAN-REF-2024-7788"", ""start"": 877, ""end"": 895, ""score"": 0.7542901039123535}]"
syn_doc_050,ORG,Human Resources Department,True,"[{""type"": ""ORG"", ""text"": ""Human Resources Department"", ""start"": 1304, ""end"": 1330, ""score"": 0.9014491438865662}]"
syn_doc_051,ORG,New York Office,False,[]
syn_doc_051,ORG,Financial Operations department,True,"[{""type"": ""ORG"", ""text"": ""Financial Operations department"", ""start"": 545, ""end"": 576, ""score"": 0.6752082705497742}]"
syn_doc_052,LOCATION,Austin,True,"[{""type"": ""LOCATION"", ""text"": ""Austin"", ""start"": 1211, ""end"": 1217, ""score"": 0.9401586651802063}]"
syn_doc_053,LOCATION,Paris,False,[]
syn_doc_054,DATE,2024-05,True,"[{""type"": ""DATE"", ""text"": ""2024-05"", ""start"": 579, ""end"": 586, ""score"": 0.584774911403656}]"
syn_doc_057,DATE,Cycle 05 Update,False,[]
syn_doc_057,PERSON,Captain,False,[]
syn_doc_058,PERSON,Atatürk,False,[]
syn_doc_061,DATE,2024-05,False,[]
syn_doc_061,CREDIT_CARD,4532-7782-9900-1203,False,[]
syn_doc_65,DATE,REG-2024-06-221,False,[]
syn_doc_67,CREDIT_CARD,4532998877660000,True,"[{""type"": ""CREDIT_CARD"", ""text"": ""4532998877660000"", ""start"": 376, ""end"": 392, ""score"": 0.533585786819458}]"
syn_doc_67,DATE,06112024,False,[]
